ccn,category,decision_question,roster_name,roster_address,header_name,header_location,header_state,declared_date,declared_version,pointer_url,file_url,blocker,options
330047,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),St Marys Healthcare,"427 GUY PARK AVENUE, AMSTERDAM NY 12010",St. Mary's Healthcare,St. Mary's Healthcare,NY,2026-05-12,3.0.0,https://www.smha.org/wp-content/uploads/2026/05/cms-hpt-7.txt,https://stmaryshospital.pg.revenuemasters.com/shoppable-files/141347719_st-marys-healthcare_shoppable.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
330080,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),LINCOLN MEDICAL & MENTAL HEALTH CENTER,"234 EAST 149TH STREET, BRONX NY 10451",New York City Health and Hospitals Corporation,Lincoln Medical Center,NY,2026-09-05,3.0.0,https://www.nychealthandhospitals.org/cms-hpt.txt,https://nychh.pt.panaceainc.com/MRFDownload/nychh/lincoln-medical,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
330101,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),NEW YORK-PRESBYTERIAN HOSPITAL,"525 EAST 68TH STREET, NEW YORK NY 10065",NewYork-Presbyterian Columbia University Irving Medical Center|NewYork-Presbyterian Weill Cornell Medical Center|NewYork-Presbyterian Brooklyn Methodist Hospital,NewYork-Presbyterian Columbia University Irving Medical Center|NewYork-Presbyterian Weill Cornell Medical Center|NewYork-Presbyterian Allen Hospital|NewYork-Presbyterian Westchester|NewYork-Presbyterian Lower Manhattan Hospital|NewYork-Presbyterian Westchester Behavioral Health|NewYork-Presbyterian Brooklyn Methodist Hospital,NY,2026-03-31,3.0.0,https://www.nyp.org/cms-hpt.txt,https://nyp.widen.net/content/hisgjrgpuk/original/133957095_NewYork-Presbyterian-Hospital_standardcharges.json.zip?u=n8xzey&download=true,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
330128,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ELMHURST HOSPITAL CENTER,"79-01 BROADWAY, ELMHURST NY 11373",New York City Health and Hospitals Corporation,Elmhurst Hospital Center,NY,2026-09-05,3.0.0,https://www.nychealthandhospitals.org/cms-hpt.txt,https://nychh.pt.panaceainc.com/MRFDownload/nychh/elmhurst,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
330350,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SUNY/DOWNSTATE UNIVERSITY HOSPITAL OF BROOKLYN,"445 LENOX ROAD, BROOKLYN NY 11203",University Hospital of Brooklyn,University Hospital of Brooklyn,NY,2025-04-22,1.0.0,https://www.downstate.edu/cms-hpt.txt,https://www.downstate.edu/patient-care/_documents/charges/364983111_suny-university-hospital-at-downstate_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
330395,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,"327 BEACH 19TH STREET, FAR ROCKAWAY NY 11691",South Shore University Hospital,South Shore University Hospital,NY,2026-03-31,3.0.0,https://www.northwell.edu/cms-hpt.txt,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/South_Shore_University_Hospital_StandardCharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
330396,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WOODHULL MEDICAL & MENTAL HEALTH CENTER,"760 BROADWAY, BROOKLYN NY 11206",New York City Health and Hospitals Corporation,Woodhull Medical Center,NY,2026-09-05,3.0.0,https://www.nychealthandhospitals.org/cms-hpt.txt,https://nychh.pt.panaceainc.com/MRFDownload/nychh/woodhull,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
334027,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SOUTH OAKS HOSP,"400 SUNRISE HIGHWAY, AMITYVILLE NY 11701",South Shore University Hospital,South Shore University Hospital,NY,2026-03-31,3.0.0,https://www.northwell.edu/cms-hpt.txt,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/South_Shore_University_Hospital_StandardCharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
340047,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),NORTH CAROLINA BAPTIST HOSPITAL,"MEDICAL CENTER BOULEVARD, WINSTON-SALEM NC 27157",North Carolina Baptist Hospital,Davie Medical Center,NC,2025-10-21,3.0.0,https://cdn.atriumhealth.org/-/media/wakeforest/clinical/files/patient-and-family-resources/transparency-files/wfb_cms-hpt.txt?rev=85a171e49f3f48798f921e649fd5bc37&hash=EB0C5382AFF1913F2F21E80EF076A342,https://sthpiprd.blob.core.windows.net/machine-readable-files/12945/560552787-1144211301_north-carolina-baptist-hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
340096,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),LEXINGTON MEMORIAL HOSPITAL INC,"250 HOSPITAL DRIVE PO BOX 1817, LEXINGTON NC 27293",Lexington Medical Center,Lexington Medical Center,NC,2025-10-08,3.0.0,https://cdn.atriumhealth.org/-/media/wakeforest/clinical/files/patient-and-family-resources/transparency-files/wfb_cms-hpt.txt?rev=85a171e49f3f48798f921e649fd5bc37&hash=EB0C5382AFF1913F2F21E80EF076A342,https://sthpiprd.blob.core.windows.net/machine-readable-files/11241/560543238_lexington-medical-center_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
341322,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ADVENT HEALTH POLK,"101 HOSPITAL DRIVE, COLUMBUS NC 28722",AdventHealth Polk,AdventHealth Polk,NC,2026-04-01,3.0.0,https://www.adventhealth.com/cms-hpt.txt,https://HospitalPriceDisclosure.com/download.aspx?pi=Z8jTqHwZ1ep3y2PIIVscAg*-*,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
344036,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),IREDELL DAVIS BEHAVIORAL HEALTH HOSPITAL,"557 Brookdale Drive, STATESVILLE NC 28677",IREDELL MEMORIAL HOSPITAL INCORPORATED,Iredell Davis Behavioral Health Hospital,NC,2025-12-31,3.0.0,https://www.iredelldavis.org/cms-hpt.txt,https://iredell.pt.panaceainc.com/MRFDownload/iredell/idbhh,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
351307,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ST ANDREW'S HOSPITAL,"316 OHMER STREET, BOTTINEAU ND 58318",SMP Health - St. Andrews,,,,,https://smphealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/CKEC-1760711468288/machine-readable/450226426_smp-health---st-andrews_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
351316,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PRESENTATION MEDICAL CENTER,"213 SECOND AVE NE, ROLLA ND 58367",SMP Health - St. Aloisius dba SMP Health - St. Aloisius,,,,,https://smphealth.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/KPBN-1760641089324/machine-readable/450226729_smp-health---st-aloisius_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
351328,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),LINTON HOSPITAL - CAH,"111 ELM AVE W, LINTON ND 58552",Linton Regional Medical Center dba Linton Regional Medical Center,,,,,https://lintonregionalmedicalcenter.org/wp-content/uploads/2026/05/Linton-Regional-Medical-Center-cms-hpt.txt,https://secure.claraprice.net/price-transparency/VGUK-1776956486915/machine-readable/450253272_linton-regional-medical-center_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
360041,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PARMA COMMUNITY GENERAL HOSPITAL,"7007 POWERS BOULEVARD, PARMA OH 44129",University Hospitals Health System,University Hospitals Parma Medical Center|University Hospitals Parma Medical Center Psychiatric Unit|University Hospitals Parma Medical Center Rehabilitation Unit,OH,2026-07-14,3.0.0,https://www.uhhospitals.org/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/7897/340827442-1164481677_university-hospitals-health-system_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
360075,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),UH REGIONAL HOSPITALS,"13207 RAVENNA ROAD, CHARDON OH 44024",University Hospitals Health System,University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center Psychiatric Unit,OH,2026-07-14,3.0.0,https://www.uhhospitals.org/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/7901/341567805-1043397292_university-hospitals-health-system_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
360098,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),LAKE HEALTH,"7590 AUBURN ROAD, CONCORD OH 44077",University Hospitals Health System,University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center|University Hospitals Cleveland Medical Center Psychiatric Unit,OH,2026-07-14,3.0.0,https://lakehealth.org/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/7901/341567805-1043397292_university-hospitals-health-system_standardcharges.csv,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
361307,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),UHHS MEMORIAL HOSPITAL OF GENEVA,"870 WEST MAIN STREET, GENEVA OH 44041",University Hospitals Health System,University Hospitals Geneva Medical Center|University Hospitals Geneva Medical Center Swing Bed Unit,OH,2026-07-14,3.0.0,https://www.uhhospitals.org/cms-hpt.txt,https://sthpiprd.blob.core.windows.net/machine-readable-files/7899/340714461-1225128432_university-hospitals-health-system_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
361311,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HARRISON COMMUNITY HOSPITAL,"951 EAST MARKET STREET, CADIZ OH 43907","Harrison Community Hospital, Inc.","WVU Medicine|Harrison Community Hospital, Inc.",OH,2026-07-17,3.0.0,https://wvumedicine.org/cms-hpt.txt,https://wvumedicine.org/wp-content/uploads/2026/08/341571750_Harrison-Community-Hospital-Inc._standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
363303,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),AKRON CHILDREN'S HOSPITAL,"1 PERKINS SQUARE, AKRON OH 44308",Children's Hospital Medical Center of Akron,Akron Children's Hospital Main Campus | Akron Children's Hospital Mahoning Valley,OH,2025-11-11,3.0.0,https://www.akronchildrens.org/cms-hpt.txt,https://akronchildrens.pt.panaceainc.com/MRFDownload/akronchildrens/akronchildrenshospital,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
370093,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),O U MEDICAL CENTER,"700 NE 13TH STREET, OKLAHOMA CITY OK 73104",OU Health - University of Oklahoma Medical Center,OU Health|OU Health - University of Oklahoma Medical Center|Oklahoma Childrens Hospital OU Health|OU Health Edmond Medical Center,OK,2026-07-29,3.0.0,https://www.ouhealth.com/cms-hpt.txt,https://apim.services.craneware.com/api-pricing-transparency/api/public/ebdcd27316bbcd47fb02c60d601d05cc/charges/mrf,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
370222,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MCBRIDE ORTHOPEDIC HOSPITAL,"9600 NORTH BROADWAY EXTENSION, OKLAHOMA CITY OK 73114",McBride Orthopedic Hospital,,,,,https://mcboh.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/VDLQ-1687968511716/machine-readable/200561474_mcbride-orthopedic-hospital_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
381317,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ADVENTIST HEALTH TILLAMOOK,"1000 THIRD STREET, TILLAMOOK OR 97141",NORTHWEST MEDICAL FOUNDATION OF TILLAMOOK,NORTHWEST MEDICAL FOUNDATION OF TILLAMOOK,OR,2026-05-22,3.0.0,https://www.adventisthealth.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAHTTILLAMOOKOR&type=CDMWithoutLabel&fileType=CSV,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
390030,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,"420 SOUTH JACKSON STREET, POTTSVILLE PA 17901",LEHIGH VALLEY HOSPITAL - SCHUYLKILL,Lehigh Valley Hospital - Schuylkill S. Jackson Street | Lehigh Valley Hospital - Schuylkill E. Norwegian Street,PA,2026-07-01,3.0.0,https://www.lvhn.org/sites/default/files/2026-03/cms-hpt.txt,https://lvhn.pt.panaceainc.com/MRFDownload/lvhn/Schuylkill,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
390093,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),INDEPENDENCE HEALTH SYSTEM CLARION HOSPITAL,"ONE HOSPITAL DRIVE, CLARION PA 16214",Clarion Hospital,Clarion Hospital,PA,2026-01-01,3.0.0,https://www.butlerhealthsystem.org/cms-hpt.txt,https://www.independence.health/documents/content/251010039_Butler-Clarion_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
390168,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),INDEPENDENCE HEALTH SYSTEM BUTLER MEMORIAL HOSPITA,"ONE HOSPITAL WAY, BUTLER PA 16001",Butler Healthcare Providers_ DBA Butler Memorial Hospital,Butler Memorial Hospital,PA,2026-01-01,3.0.0,https://www.butlerhealthsystem.org/cms-hpt.txt,https://www.independence.health/documents/content/250965274_Butler-Memorial_StandardCharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
390211,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SHARON REGIONAL MEDICAL CENTER,"740 EAST STATE STREET, SHARON PA 16146",Sharon Regional Health System,Steward Sharon Regional Health System,PA,2024-07-04,2.0.0,,https://sharonregionalhealthsystem.org/wp-content/uploads/2025/05/332621724_SharonRegional_standardcharges.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
390219,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),EXCELA HEALTH LATROBE HOSPITAL,"ONE MELLON WAY, LATROBE PA 15650",Independence Health System Latrobe Area Hospital,Latrobe Area Hospital,PA,2025-12-17,3.0.0,https://www.excelahealth.org/cms-hpt.txt,https://www.independence.health/documents/content/250965414_LatrobeAreaHospital_StandardCharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
390237,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),REGIONAL HOSPITAL OF SCRANTON,"746 JEFFERSON AVENUE, SCRANTON PA 18501",Regional Hospital of Scranton,Moses Taylor Hospital,PA,2024-12-02,2.0.0,,https://commonwealthhealth.net/wp-content/uploads/sheets/452672023_moses-taylor-hospital_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
394052,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HAVEN BEHAVIORAL HOSPITAL OF EASTERN PENNSYLVANIA,"145 NORTH 6TH STREET, READING PA 19601",Haven Behavioral Hospital of Eastern Pennsylvania,Haven Behavioral Hospital of Eastern Pennsylvania,PA,2026-04-01,3.0.0,https://www.havenreading.com/cms-hpt.txt,https://oceanshealthcare.com/wp-content/uploads/2026/07/272799973_Haven-Behavioral-Hospital-of-Eastern-Pennsylvania_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
400006,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DOCTORS' CENTER HOSPITAL SAN JUAN,"PDA. 20 C/ SAN RAFAEL # 1395, SANTURCE PR 00909",Doctors' Center Hospital - San Juan,,,,,https://www.doctorscenterhospital.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/EPCT-1699383596813/machine-readable/660686840_doctors-center-hospital---san-juan_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
400102,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DOCTORS' CENTER BAYAMON,"CALLE  J 9 EXTENSION  HERMANAS DAVILA, BAYAMON PR 00960",Doctors' Center Hospital - Dorado,,,,,https://www.doctorscenterhospital.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/KKXU-1699383282623/machine-readable/660874686_doctors-center-hospital---dorado_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
400118,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47.7, MANATI PR 00674",Doctors' Center Hospital - Dorado,,,,,https://www.doctorscenterhospital.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/KKXU-1699383282623/machine-readable/660874686_doctors-center-hospital---dorado_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
400132,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),DOCTORS CENTER HOSPITAL  CAROLINA LLC,"EDIF JESUS T PINEIRO AVE FERNANDEZ JUNCOS BO PUEBL, CAROLINA PR 00979",Doctors' Center Hospital - Manati,,,,,https://www.doctorscenterhospital.com/cms-hpt.txt,https://secure.claraprice.net/price-transparency/KXCB-1699383416708/machine-readable/660665951_doctors-center-hospital---manatí_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
420051,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MCLEOD REGIONAL MEDICAL CENTER-PEE DEE,"555 E CHEVES ST BOX 8700, FLORENCE SC 29506",McLeod Health,McLeod Health MRMC,SC,2026-07-21,3.0.0,https://www.mcleodhealth.org/cms-hpt.txt,https://www.mcleodhealth.org/wp-content/uploads/price-transparency/57-0370242_mcleod-regional-medical-center_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
420073,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),LEXINGTON MEDICAL CENTER,"2720 SUNSET BLVD, WEST COLUMBIA SC 29169",Lexington Medical Center,Lexington Medical Center,SC,2026-04-01,3.0.0,,https://lexhealth.com/lexhealth/docs/852276567_lexington-medical-center_standardcharges-Q2-2026.json,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
431314,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),BENNETT COUNTY HOSPITAL AND NURSING HOME - CAH,"102 MAJOR ALLEN   POST OFFICE BOX 70D, MARTIN SD 57551",Bennett County Hospital & Nursing Home,Bennett County Hospital,SD,2025-01-03,2.0.0,https://bennettcountyhospital.com/cms-hpt.txt,https://bennettcountyhospital.com/wp-content/uploads/2025/01/432040599_bennett-county-hospital-nursing-home_standardcharges.csv,mrf-header-name-without-location,same-facility-rename | moved-facility | different-facility | need-publisher
431319,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),HANS P PETERSON MEMORIAL HOSPITAL - CAH,"503 W PINE  POST OFFICE BOX 790, PHILIP SD 57567",Philip Health Service Inc,Philip Health Service Inc,SD,2024-07-01,2.0.0,https://www.philiphealthservices.com/cms-hpt.txt,https://www.philiphealthservices.com/460361016_Philip-Health-Services-Inc_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
440002,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),JACKSON-MADISON COUNTY GENERAL HOSPITAL,"620 SKYLINE DRIVE, JACKSON TN 38301",Jackson-Madison County General Hospital,Jackson-Madison County General Hospital,TN,2026-06-05,3.0.0,,https://www.wth.org/wp-content/uploads/standard-charges/62-6010402_JH_standard_Charges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
440058,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM WINCHEST,"185 HOSPITAL ROAD, WINCHESTER TN 37398",Riverview Regional Medical Center ,Riverview Regional Medical Center ,TN,2026-07-10,3.0.0,https://www.highpointhealthsystem.com/cms-hpt.txt,https://www.highpointhealthsystem.com/docs/ahhighpointhealthlibraries/hcl/mrf3q2026/621762469_riverview-regional-medical-center_standardcharges.csv.zip,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
440060,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WEST TENNESSEE HEALTHCARE MILAN HOSPITAL,"4039 HIGHLAND ST, MILAN TN 38358",West Tennessee Healthcare Milan Hospital,West Tennessee Healthcare Milan Hospital,TN,2026-06-02,3.0.0,,https://www.wth.org/wp-content/uploads/standard-charges/62-1753289_MH_Standard_Charges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
440091,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),"MEMORIAL HEALTHCARE SYSTEM, INC","2525 DESALES AVE, CHATTANOOGA TN 37404",DIGNITY COMMUNITY CARE,Glendale Memorial Hospital and Health Center,CA,2026-02-28,3.0.0,https://www.commonspirit.org/cms-hpt.txt,https://www.commonspirit.org/content/dam/commonspiritorg/en/dhsoc/casc/finance/price-transparency/815009488-1477610640_dignity-community-care_standardcharges.json,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
440102,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),LINCOLN MEDICAL CENTER,"106 MEDICAL CENTER BLVD, FAYETTEVILLE TN 37334",HH Health System Lincoln Inc,Lincoln Medical Center,TN,2026-07-31,3.0.0,https://lincolnhealthsystem.com/cms-hpt.txt,https://lincolnhealthsystem.com/wp-content/uploads/882472117_hh-health-system-lincoln-inc_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
440104,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ERLANGER MEDICAL CENTER,"975 E 3RD ST, CHATTANOOGA TN 37403",ERLANGER HEALTH,Erlanger Baroness Hospital | Erlanger East Hospital | Children's Hospital at Erlanger | Kennedy Outpatient Center | Erlanger North Hospital,TN,2026-01-25,3.0.0,https://www.erlanger.org/cms-hpt.txt,https://erlanger.pt.panaceainc.com/MRFDownload/erlanger/baroness,corroborated-adjudicated,same-facility-rename | moved-facility | different-facility | need-publisher
441316,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WEST TENNESSEE HEALTHCARE CAMDEN HOSPITAL,"175 HOSPITAL DRIVE, CAMDEN TN 38320",West Tennessee Healthcare Camden Hospital,West Tennessee Healthcare Camden Hospital,TN,2026-06-02,3.0.0,,https://www.wth.org/wp-content/uploads/standard-charges/58-1884314_CH_Standard_Charges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
441320,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WEST TENNESSEE HEALTHCARE BOLIVAR HOSPITAL,"650 NUCKOLLS ROAD, BOLIVAR TN 38008",West Tennessee Healthcare Bolivar Hospital,West Tennessee Healthcare Bolivar Hospital,TN,2026-06-02,3.0.0,,https://www.wth.org/wp-content/uploads/standard-charges/62-1624171_BH_Standard_Charges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
450055,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),ROLLING PLAINS MEMORIAL HOSPITAL,"200 E ARIZONA, SWEETWATER TX 79556",Rolling Plains Memorial Hospital,,,,,https://uploads-ssl.webflow.com/61e370c0cff8aef768e7d5cd/65cf8a10fe53011a1331244f_cms-hpt%20(1).txt,https://secure.claraprice.net/price-transparency/NWM3481600293/machine-readable,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
450196,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),PARIS REGIONAL MEDICAL CENTER,"865 DESHONG DR, PARIS TX 75460",Paris Regional Medical Center,Paris Regional Medical Center,TX,2026-07-17,3.0.0,https://www.parisregionalhealth.com/cms-hpt.txt,https://www.parisregionalhealth.com/docs/ahparisregionalhealthlibraries/hcl/mrf3q262/331073948_paris-regional-medical-center_standardcharges.csv,corroborated,same-facility-rename | moved-facility | different-facility | need-publisher
450200,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),WADLEY REGIONAL MEDICAL CENTER,"1000 PINE STREET, TEXARKANA TX 75501",Gerald Champion Regional Medical Center,Gerald Champion Regional Medical Center,NM,2026-01-12,3.0.0,https://www.christushealth.org/cms-hpt.txt,https://www.christushealth.org/-/media/christus-health/plan-care/files/bill-pay/machine-readable-files/850138775_geraldchampionregionalmedicalcenter_standardcharges.ashx,mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
450889,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,"7115 GREENVILLE AVENUE SUITE 100, DALLAS TX 75231",,,,,,https://texasinstituteforsurgery.com/cms-hpt.txt,https://www.texasinstituteforsurgery.com/wp-content/uploads/2023/07/770628004_Texas-Institute-for-Surgery_standardcharges.csv,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
451309,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),MC CAMEY HOSPITAL,"2500 HWY 305 SOUTH, MCCAMEY TX 79752",McCamey County Hospital District,,,,,https://mccameyhospital.org/cms-hpt.txt,https://secure.claraprice.net/price-transparency/IWPW-1774366795883/machine-readable/751246166_mccamey-county-hospital-district_standardcharges.json,mrf-header-has-no-license-state,same-facility-rename | moved-facility | different-facility | need-publisher
451312,alias-rename,Is the file header below the same facility as the CMS roster row? (rename/moved/other),RICE MEDICAL CENTER,"600 SOUTH AUSTIN ROAD, EAGLE LAKE TX 77434",CAHRMC,3.0.0,TX,,2026-02-19,https://irp.cdn-website.com/1a9a1f05/files/uploaded/cms-hpt-updated.txt,"https://ricemedicalcenter.slicedhealth.io/pricer/270565499_cahrmc,-dba-rice-medical-center_standardcharges.csv",mrf-header-does-not-match-unresolved-roster,same-facility-rename | moved-facility | different-facility | need-publisher
